latitude,longitude,crime_type,timestamp,cluster
12.977064476102132,77.61120589932219,theft,2024-11-09 21:00:00,-1
12.967912158514217,77.61090895754567,robbery,2024-06-18 15:00:00,31
12.938341580863337,77.55992223455979,assault,2024-11-02 06:00:00,0
12.97936430800345,77.61516854922473,fraud,2024-01-14 17:00:00,1
12.98999428466179,77.60213229842137,burglary,2024-09-20 14:00:00,1
12.935366260413588,77.56331424333966,burglary,2024-01-02 05:00:00,0
12.991107668435747,77.60499910664778,homicide,2024-02-13 01:00:00,1
12.996548500709572,77.6115199367313,fraud,2024-08-02 07:00:00,1
12.96988332525138,77.60964850411246,homicide,2024-08-04 12:00:00,-1
12.952306652497862,77.63556482739781,theft,2024-01-09 23:00:00,2
12.963710994242442,77.64677341831774,burglary,2024-10-15 04:00:00,3
12.98808565399536,77.6019921494129,fraud,2024-11-23 11:00:00,1
12.992833412681724,77.59830850623038,burglary,2024-10-19 02:00:00,1
12.934086724570664,77.63359010565213,assault,2024-04-10 14:00:00,4
12.940093028888311,77.57250374456534,burglary,2024-12-24 08:00:00,-1
12.995495770727047,77.60207378961599,assault,2024-04-05 03:00:00,1
12.977436169544932,77.6034468268131,burglary,2024-02-05 12:00:00,1
12.87816445304973,77.55446575005084,robbery,2024-03-02 20:00:00,-1
12.932914200703292,77.61750373504077,fraud,2024-11-26 22:00:00,38
12.933201027229027,77.62917149748182,theft,2024-10-09 19:00:00,4
12.960470092793813,77.61817140133071,theft,2024-11-02 09:00:00,-1
12.922079876254976,77.62710731464543,theft,2024-08-20 19:00:00,18
12.958930145164643,77.6394524190763,theft,2024-10-21 01:00:00,3
12.92862160936876,77.55225876259838,theft,2024-04-22 01:00:00,-1
12.991265265995333,77.60379252773826,assault,2024-05-05 01:00:00,1
12.984430068887814,77.61534821658005,theft,2024-11-19 22:00:00,1
12.926626848439177,77.55485347844055,homicide,2024-11-20 19:00:00,5
12.999494250931544,77.62198949342618,theft,2024-04-06 08:00:00,-1
12.942879079624245,77.63186538102505,fraud,2024-09-08 03:00:00,33
