ds,yhat,yhat_lower,yhat_upper
2025-12-02,63.57315352742452,54.05859662095393,73.57377128984832
2025-12-03,63.620566012971736,53.70644031811397,73.0253267351152
2025-12-04,60.910055987072056,51.61019261767127,70.83563532317861
2025-12-05,56.800531084359974,47.506312508036494,66.92883726952324
2025-12-06,53.60191434099055,43.72856981729008,63.46726782907738
2025-12-07,54.49845619548023,44.71474428607853,65.40911459922934
2025-12-08,58.47871712561602,48.83121599370601,68.08793085087115
2025-12-09,64.36619913121653,55.600933827629895,74.0955304773143
2025-12-10,64.95781504415478,55.03242163444178,75.16760798792762
2025-12-11,62.86002689836746,53.12141211915896,72.64012723404717
2025-12-12,59.21466029634141,50.47628884021652,68.50545736387059
2025-12-13,56.24731224153063,46.75207178465235,65.51538411788924
2025-12-14,57.22181857435078,47.64851402346884,67.17154629353608
2025-12-15,61.249404502403706,50.99663357147734,70.36816509459993
2025-12-16,67.18311931185005,57.76550476254371,76.51282159522752
2025-12-17,67.71979775183607,58.878631676577264,78.39103696622745
2025-12-18,65.36059741596051,55.66224696810092,73.99387289117581
2025-12-19,61.26028602009821,51.654337917748734,71.26199416452165
2025-12-20,57.81262998646999,48.13692316899634,67.07648446715623
2025-12-21,58.502099034291,48.34296602425188,68.28964100972443
2025-12-22,62.55898677668013,52.983783002339194,71.80761953483261
2025-12-23,68.7912017787169,59.59571653598215,78.01509310456397
2025-12-24,69.73698278619341,60.02259558042004,79.02721546672088
2025-12-25,67.7553372978389,58.20237220733463,77.49091557967412
2025-12-26,63.9227276379616,54.627779719470176,73.9996956055574
2025-12-27,60.595449980964666,50.5353078904316,70.2528341655384
2025-12-28,61.211132273327294,52.07986809257507,70.89131753313285
2025-12-29,64.94621718768356,54.661452053842794,74.13508581292267
2025-12-30,70.62573750717301,60.366039397834406,80.55994733283842
2025-12-31,70.9246821760256,61.183213649081445,79.50972094419541
2026-01-01,69.30614223304504,58.14429902232522,78.84910859299399
2026-01-02,65.2465257682434,56.296805488307065,74.87998526571663
2026-01-03,61.950987454089244,52.11921200721086,71.35175058134958
2026-01-04,62.65805415204858,52.29280227126828,71.82209195963515
2026-01-05,66.33160847858797,56.613072141221416,75.50444385116357
2026-01-06,71.75207957597486,61.62918385086984,81.75910086081588
2026-01-07,71.75049918040551,61.93140060776967,81.14229772469852
2026-01-08,69.15006248615221,59.72214730983661,78.85672974448234
